action_id,timestamp,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,action_label
1,13465,-0.0008,0.0341,0.1082,-0.9864,9.9455,-1.8938,jump
1,13488,-0.0216,0.0456,0.0661,-1.2354,9.9383,-1.3479,jump
1,13511,-0.0306,-0.0211,0.0709,-1.3599,9.3948,-1.652,jump
1,13535,-0.0322,-0.0211,0.0608,-1.4724,9.0668,-1.5419,jump
1,13558,-0.0266,-0.0181,0.0544,-1.0798,9.1578,-1.549,jump
1,13581,-0.0522,-0.0173,0.0773,-0.9313,9.347,-1.4126,jump
1,13604,-0.0624,-0.0935,0.1114,-1.1229,9.3278,-1.47,jump
1,13627,-0.0901,-0.1684,0.1431,-1.2785,9.2344,-1.6376,jump
1,13650,-0.1466,-0.1881,0.1482,-1.3982,9.0261,-1.7047,jump
1,13673,-0.211,-0.1887,0.1388,-1.1564,8.4587,-1.9896,jump
1,13696,-0.3171,-0.1788,0.1314,-0.893,7.7955,-2.2673,jump
1,13720,-0.5167,-0.23,0.1564,-0.7781,6.2608,-2.2075,jump
2,16627,-0.0381,0.057,0.0051,0.9792,6.2034,-0.5195,jump
2,16650,-0.1905,0.077,0.0104,-0.5028,5.0589,0.5818,jump
2,16673,-0.2097,0.0645,0.0565,-1.1588,4.6807,0.7183,jump
2,16696,-0.3195,0.1351,0.016,0.2059,6.1076,1.1085,jump
2,16719,-0.3834,0.129,-0.093,0.0407,7.9104,3.2298,jump
2,16742,-0.3142,0.1519,-0.1183,-0.2562,10.1275,4.1084,jump
2,16765,-0.0432,0.122,-0.0874,-0.3256,11.7795,4.4891,jump
2,16789,0.2745,0.1495,-0.0914,-0.6464,15.0835,4.4867,jump
2,16812,0.4032,0.2971,-0.1268,-1.0463,20.4345,6.5553,jump
2,16835,0.6137,0.1831,-0.057,-0.8571,22.5127,9.0716,jump
2,16858,0.9244,0.2201,0.0576,-1.8651,22.2134,10.5465,jump
2,16881,1.542,0.3994,0.1593,-4.221,21.2318,10.4746,jump
3,19950,-0.461,0.3043,0.0285,0.5315,7.3694,-1.9609,jump
3,19973,-0.5955,0.3677,-0.0184,0.1532,6.9264,-1.3767,jump
3,19996,-0.6688,0.1988,-0.0434,-0.6105,6.6918,-1.2881,jump
3,20019,-0.8247,0.0237,-0.0168,-1.1325,6.4428,-0.8356,jump
3,20042,-0.8644,-0.037,-0.0141,-0.5626,7.197,-0.1676,jump
3,20065,-0.8132,0.0546,-0.0557,0.4238,8.3294,-0.328,jump
3,20088,-0.7149,0.1151,-0.1452,1.1492,9.7085,-0.0311,jump
3,20111,-0.6454,0.1226,-0.162,0.1006,10.647,0.4741,jump
3,20134,-0.5753,-0.0096,-0.0421,-0.261,10.6494,-0.1317,jump
3,20157,-0.5782,-0.0368,0.0453,0.1101,9.8857,-0.0958,jump
3,20180,-0.5063,0.0261,0.0498,0.2945,9.232,-0.3352,jump
3,20203,-0.4599,0.1346,0.0272,0.407,8.1475,-0.3687,jump
4,22564,-1.1085,0.6901,-0.3352,5.7293,8.4491,-1.913,jump
