action_id,timestamp,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,action_label
1,943948,0.0059,0.2057,-0.2673,-1.1133,10.1778,-2.059,right
1,943972,-0.0392,0.0632,-0.2766,-0.7159,11.1163,-3.3208,right
1,943995,0.0989,-0.1657,-0.3333,0.838,11.3557,-4.1851,right
1,944018,0.1879,-0.3789,-0.4469,1.1492,12.9838,-3.2729,right
1,944041,0.4221,-0.4615,-0.5137,0.2897,13.7212,-1.2833,right
1,944064,0.4586,-0.0797,-0.4682,-0.5698,12.8904,-1.2163,right
1,944087,0.4319,0.4599,-0.4485,-0.8595,10.8409,-0.5387,right
1,944110,0.4626,0.7911,-0.4631,-2.0207,9.8426,-0.8404,right
1,944135,0.4559,0.5399,-0.2902,-3.9121,10.8481,-1.6688,right
1,944158,0.0139,-0.0618,-0.1066,-1.6209,9.8857,-1.4341,right
1,944181,-0.1687,-0.4125,-0.0008,-1.7861,9.177,-1.7166,right
1,944205,-0.0629,-0.2555,0.0698,-0.6057,9.833,-2.1835,right
1,944228,0.1378,-0.0786,0.0751,0.486,9.1794,-2.2458,right
1,944251,0.2982,-0.056,0.0506,-0.0383,7.5896,-3.1819,right
1,944274,0.344,0.0775,0.012,-1.0487,6.7804,-3.134,right
1,944297,0.3046,0.0695,-0.0354,-1.9201,6.9935,-2.8228,right
1,944320,0.1972,-0.0354,-0.057,-2.3798,7.5992,-2.7318,right
1,944343,-0.0197,-0.3653,0.0075,-2.1787,7.7883,-2.9066,right
1,944367,-0.0783,-0.6243,0.0799,-1.5706,7.8171,-3.5338,right
1,944390,-0.0501,-0.664,0.1338,-0.8547,7.6567,-3.4189,right
1,944413,0.1111,-0.5766,0.1745,-0.5818,7.4388,-3.45,right
1,944436,0.2134,-0.5175,0.2081,-1.0798,7.5106,-3.5793,right
1,944459,0.2769,-0.5036,0.2356,-1.913,8.3965,-4.0318,right
1,944482,0.2747,-0.4668,0.2494,-2.0039,9.809,-4.1252,right
1,944505,0.21,-0.3078,0.2635,-0.9864,10.908,-4.3981,right
1,944528,0.0394,-0.2393,0.3485,-0.4286,11.3485,-4.5203,right
1,944552,0.2326,-0.0938,0.3973,0.747,10.5297,-4.5753,right
1,944575,0.3429,-0.4666,0.5044,-2.0542,10.5967,-3.7852,right
1,944598,0.4983,-0.5359,0.6174,-3.4165,13.3764,-2.8323,right
1,944621,0.5718,-0.5641,0.5476,0.2442,17.4561,-2.3128,right
1,944644,-0.1735,-0.6067,0.429,3.802,13.8241,-0.7087,right
1,944667,-0.0546,-0.3557,0.3094,3.8666,10.0221,-0.3615,right
1,944690,-0.1018,-0.4234,0.1953,1.8842,10.4004,-2.4924,right
1,944713,-0.0877,-0.8359,0.1244,-1.4533,9.9192,-0.3567,right
1,944736,0.0338,-0.8553,0.0975,-1.5514,9.3805,-2.047,right
1,944760,0.1162,-0.902,0.0725,0.9792,9.5265,-2.7007,right
1,944783,0.1226,-0.9073,0.0765,2.0638,9.2416,-2.7725,right
1,944806,0.138,-0.7682,0.109,2.0087,8.1977,-2.7773,right
1,944829,0.0965,-0.7845,0.1543,1.7669,7.4029,-2.6743,right
1,944852,0.0304,-0.8713,0.1868,1.2474,6.9743,-3.3686,right
1,944875,-0.0386,-0.886,0.145,1.4988,6.6846,-3.4716,right
