action_id,timestamp,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,action_label
1,2,0.7869,1.1159,-0.5958,-10.9702,23.8008,-5.5210,jump
1,16,1.1746,0.8799,-0.0751,-9.7707,25.5629,-7.2257,jump
1,29,1.1764,0.7277,0.1559,-8.3127,27.1287,-8.7412,jump
1,42,1.1119,0.5684,0.2102,-8.5928,26.9611,-8.1930,jump
1,55,1.3851,0.4181,0.2888,-8.3103,25.3594,-6.4165,jump
1,68,1.7712,0.4437,0.3150,-7.6878,23.4895,-6.1938,jump
1,81,1.8341,0.5537,0.3355,-6.8211,20.5758,-6.2130,jump
1,94,1.7102,0.5167,0.4010,-5.8227,16.8360,-4.6735,jump
1,107,1.7938,0.6363,0.5513,-4.9823,13.0388,-2.5379,jump
1,120,1.9023,0.6006,0.7994,-4.1755,9.5577,-1.7142,jump
1,133,1.8375,0.5241,0.9398,-1.8579,6.4883,-1.4629,jump
1,146,1.5751,0.5681,0.8308,-0.1101,3.6871,-0.9242,jump
1,159,1.3539,0.3848,0.5081,0.4429,1.0367,0.0790,jump
1,172,1.3414,0.1951,0.2489,-0.4405,-0.6919,0.6393,jump
1,185,1.2319,0.1791,0.1130,-1.5467,-0.9385,0.1580,jump
1,198,0.7133,0.3355,0.1609,-1.6759,-0.2729,-0.8308,jump
1,211,0.1103,0.2902,0.3115,-0.8691,0.6536,-1.5538,jump
1,224,-0.0946,-0.2214,0.3203,-0.2011,1.8986,-2.0949,jump
1,237,0.0341,-0.5255,0.2755,0.4788,2.0016,-2.5762,jump
1,250,0.0592,-0.4373,0.1029,0.8787,0.8930,-2.3942,jump
1,263,-0.0616,-0.3509,-0.0272,0.8212,0.3184,-1.6233,jump
1,276,-0.1596,-0.2737,-0.1074,0.7350,-0.0072,-0.9888,jump
1,289,-0.1535,-0.2774,-0.1247,0.4645,-0.6249,-0.3998,jump
1,302,-0.0557,-0.1977,-0.0061,0.6728,-1.2665,-0.2155,jump
1,315,-0.1045,-0.1953,0.1079,0.7925,-0.9816,-0.5914,jump
1,328,-0.3080,-0.4706,0.1500,0.7374,-0.2059,-0.8140,jump
1,341,-0.3922,-0.6749,0.2025,0.5148,0.0790,-0.7326,jump
1,354,-0.3200,-0.7573,0.3054,0.1628,0.0551,-0.5914,jump
1,367,-0.2270,-0.8151,0.3309,0.2251,0.0479,-0.3807,jump
1,380,-0.2068,-0.9230,0.3200,0.2083,0.1556,-0.4118,jump
1,393,-0.2766,-0.9678,0.2875,0.3208,0.3472,-0.5100,jump
1,406,-0.3733,-0.8628,0.2550,0.4932,0.4812,-0.5100,jump
1,419,-0.5095,-0.6065,0.2430,0.6297,0.7877,-0.5076,jump
1,432,-0.7184,-0.3152,0.1609,0.9218,0.9002,-0.3926,jump
1,445,-0.9896,-0.1506,-0.0498,0.7925,0.7853,-0.0814,jump
1,458,-1.2886,-0.2614,-0.2153,0.2107,0.5100,0.1317,jump
1,471,-1.5210,-0.3826,-0.2681,-0.4166,-0.2227,0.3184,jump
