action_id,timestamp,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,action_label
1,678554,-0.1327,0.0131,-0.024,0.929,9.2177,-3.2034,right
1,678577,-0.1108,0.0408,-0.069,0.3879,9.1243,-3.1556,right
1,678600,-0.1085,0.0719,-0.0091,0.4621,9.165,-3.2944,right
1,678623,-0.0978,0.0879,-0.0352,0.407,9.1171,-2.8706,right
1,678646,-0.0506,0.1053,-0.0911,0.723,8.3701,-3.2202,right
1,678669,0.0072,0.1775,-0.1218,1.0367,7.999,-3.2513,right
1,678692,0.0317,0.2984,-0.113,1.2594,8.0565,-3.0454,right
1,678715,0.06,0.2883,-0.1276,1.0319,8.77,-2.6121,right
1,678738,0.0831,0.1756,-0.1889,0.067,9.2392,-2.2721,right
1,678761,0.1082,0.0544,-0.2521,-0.486,9.4763,-2.1739,right
1,678784,0.11,0.0802,-0.3304,-0.4693,10.1754,-2.8371,right
1,678807,0.1239,0.1929,-0.3968,-0.2897,11.6478,-3.0358,right
1,678830,0.1418,0.3512,-0.4378,-0.565,13.4937,-2.1668,right
1,678853,0.2305,0.2153,-0.4048,-2.3056,14.7698,-1.6999,right
1,678878,0.1247,0.1447,-0.2886,-2.5355,12.0021,-0.7877,right
1,678901,0.1116,0.1575,-0.2073,-1.731,9.1889,-1.2354,right
1,678925,0.0842,0.2438,-0.1498,-1.5203,7.6423,-1.7573,right
1,678948,0.0666,0.2361,-0.0485,-1.7789,7.7835,-1.8052,right
1,678971,0.085,0.1673,0.033,-0.9673,8.8729,-1.5443,right
1,678994,0.0861,0.1164,0.0781,-1.063,9.0261,-2.0303,right
1,679017,0.0722,0.1085,0.056,-1.4126,9.1051,-1.9632,right
1,679040,0.0637,0.0786,-0.0099,-1.6855,9.1961,-2.1141,right
1,679063,0.0602,0.0821,-0.0496,-1.8459,8.8753,-2.3559,right
1,679086,0.0458,0.0648,-0.049,-1.312,8.8681,-2.6887,right
1,679109,0.0296,0.0266,0.0096,-0.9936,8.8274,-2.6647,right
1,679133,0.0384,-0.0005,0.0842,-0.7661,8.6455,-2.9185,right
1,679156,0.0578,-0.0413,0.1194,-1.1181,8.3222,-2.9832,right
1,679179,0.0887,-0.0914,0.1236,-1.6017,8.1954,-3.1915,right
1,679202,0.1164,-0.1074,0.1045,-1.7454,8.2528,-3.2585,right
1,679225,0.1332,-0.0943,0.0898,-1.7023,8.0948,-3.0765,right
1,679248,0.1748,-0.1386,0.1087,-1.8292,7.932,-3.1963,right
1,679271,0.2164,-0.2326,0.1484,-2.15,8.2839,-2.9832,right
1,679294,0.2598,-0.3147,0.166,-2.0399,9.0261,-3.3303,right
1,679317,0.2433,-0.3283,0.1593,-1.6352,9.7899,-3.4405,right
1,679341,0.1966,-0.2166,0.1535,-0.9002,10.2424,-3.8834,right
1,679364,0.1514,-0.0887,0.1791,-0.8739,10.3645,-3.6129,right
1,679387,0.2297,-0.2057,0.2665,-1.6951,9.7612,-3.7565,right
1,679410,0.3174,-0.5388,0.4133,-3.158,9.4906,-3.6057,right
1,679433,0.4002,-0.7887,0.5612,-3.5602,10.7811,-3.7278,right
1,679456,0.4397,-0.7051,0.5105,-2.1739,13.793,-2.1404,right
1,679479,0.3126,-0.4527,0.4082,0.431,14.9757,-1.8459,right
1,679502,0.0975,-0.2419,0.3142,3.0454,12.6318,-2.2889,right
1,679526,-0.0573,-0.211,0.2126,2.8228,10.5943,-2.5546,right
1,679550,-0.0767,-0.1524,0.1545,2.0997,9.5553,-1.5107,right
1,679573,-0.1124,-0.4293,0.1383,-0.2682,9.0285,-1.2354,right
1,679596,-0.0637,-0.6009,0.138,-1.7597,8.4348,-2.1093,right
1,679619,-0.0711,-0.6997,0.1074,-0.8428,8.0589,-2.4277,right
1,679642,-0.1175,-0.6694,0.0394,-0.0024,8.4946,-2.1404,right
1,679665,-0.0898,-0.5351,-0.0053,0.9481,8.5784,-2.399,right
1,679688,-0.0514,-0.5343,-0.0131,1.5443,8.0661,-2.8539,right
1,679711,-0.036,-0.5468,0.0245,1.5371,8.0685,-2.9688,right
1,679735,-0.0741,-0.6534,0.0581,1.0008,8.4156,-2.8587,right
1,679758,-0.0941,-0.7786,0.06,0.5291,8.4803,-2.7605,right
1,679781,-0.0674,-0.7322,0.0362,1.0726,8.6239,-2.9928,right
1,679804,-0.0349,-0.587,-0.0181,1.482,8.6335,-2.9497,right
1,679827,0.0147,-0.4367,-0.0706,1.664,8.4467,-3.1627,right
1,679850,0.0866,-0.3589,-0.1092,1.9872,8.3462,-3.3399,right
1,679873,0.1703,-0.3011,-0.1402,2.241,8.1738,-3.2513,right
1,679896,0.2196,-0.2715,-0.2049,2.1261,8.2815,-2.9592,right
1,679919,0.2587,-0.2864,-0.304,1.2857,8.8418,-2.8371,right
1,679942,0.2769,-0.3094,-0.4178,0.0766,9.8641,-2.6001,right
1,679966,0.1966,-0.4085,-0.4658,-1.5586,9.3805,-2.5666,right
1,679989,0.2036,-0.4551,-0.4053,-0.9505,9.1554,-3.0885,right
1,680012,0.2894,-0.5172,-0.3701,0.5914,11.0085,-4.063,right
1,680035,0.4639,-0.4759,-0.4159,1.6568,12.4642,-2.7031,right
1,680058,0.5393,-0.3856,-0.4282,0.6752,12.6629,-2.6576,right
1,680081,0.6222,-0.2156,-0.3168,-0.972,12.8712,-2.4684,right
1,680104,0.6797,-0.1943,-0.2406,-2.7485,12.6031,-0.9649,right
1,680127,0.1431,-0.8084,-0.1519,-6.28,10.0389,-0.5866,right
1,680151,0.0045,-1.1506,0.1561,-5.9185,8.4443,-1.1684,right
1,680174,0.0951,-1.0222,0.3118,-1.731,9.4786,-1.9728,right
1,680197,0.1801,-1.0387,0.3222,0.6393,9.9311,-1.9704,right
1,680220,0.3166,-1.064,0.2769,0.4597,8.8322,-2.648,right
1,680243,0.3968,-1.105,0.2092,0.0096,7.762,-2.6815,right
1,680266,0.4024,-1.2606,0.1431,-1.2282,7.7069,-3.0765,right
1,680289,0.3027,-1.4027,0.0799,-2.0758,8.4539,-3.1795,right
1,680312,0.1306,-1.5833,0.0632,-2.0279,8.9735,-3.2657,right
1,680335,-0.0221,-1.6515,0.0805,-1.3934,9.4571,-3.5578,right
1,680359,0.0901,-1.3952,0.0746,0.1221,9.6319,-3.9361,right
1,680382,0.1921,-1.278,0.0192,1.0056,9.4715,-4.4005,right
1,680405,0.1492,-1.2678,-0.0258,-0.2227,9.1099,-4.3551,right
