action_id,timestamp,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,action_label
1,2,-0.6107,1.1791,-0.0293,-4.4724,8.3079,-1.8555,straight
1,16,-0.5748,1.1738,-0.0663,-4.6567,8.5329,-2.1237,straight
1,29,-0.5252,1.2073,-0.0911,-5.0542,8.667,-2.2314,straight
1,42,-0.5108,1.2351,-0.0677,-4.9488,8.7149,-2.3727,straight
1,55,-0.542,1.2153,-0.0434,-4.8698,8.825,-2.2889,straight
1,68,-0.5617,1.2057,-0.0173,-4.6998,8.7149,-2.3152,straight
1,81,-0.567,1.2047,-0.0013,-4.6088,8.7245,-2.4421,straight
1,94,-0.554,1.1554,0.012,-4.7477,8.679,-2.4253,straight
1,107,-0.5252,1.1026,0.0163,-5.0159,8.691,-2.4972,straight
1,120,-0.5393,1.096,0.0093,-5.1619,8.6526,-2.3966,straight
1,133,-0.5868,1.0688,0.0077,-5.1212,8.3965,-2.1787,straight
1,146,-0.6254,1.0174,0.0195,-4.8626,8.2121,-2.1691,straight
1,159,-0.639,0.9643,0.0429,-4.5418,8.0062,-2.2314,straight
1,172,-0.6243,0.8934,0.0709,-4.3024,7.7883,-2.2673,straight
1,185,-0.5998,0.7943,0.0994,-4.1539,7.7357,-2.32,straight
1,198,-0.5598,0.6992,0.1183,-3.9576,7.7381,-2.399,straight
1,211,-0.5742,0.651,0.1039,-3.9911,7.8458,-2.4852,straight
1,224,-0.6145,0.6531,0.057,-4.0845,7.9464,-2.5379,straight
1,237,-0.6675,0.7091,-0.0011,-4.197,8.09,-2.7246,straight
1,250,-0.7032,0.7528,-0.0458,-4.4987,8.1211,-2.8228,straight
1,263,-0.6664,0.8111,-0.0512,-4.6855,8.0924,-2.7821,straight
1,276,-0.6243,0.8279,-0.0498,-4.4819,8.1331,-2.9018,straight
1,289,-0.6187,0.7789,-0.06,-4.288,8.011,-2.794,straight
1,302,-0.5897,0.7333,-0.0663,-4.209,7.9057,-2.727,straight
1,315,-0.5596,0.6992,-0.0781,-4.1707,7.8913,-2.8611,straight
1,328,-0.5385,0.704,-0.0901,-4.209,7.8219,-2.909,straight
1,341,-0.5004,0.7442,-0.0893,-4.2449,7.6447,-2.8323,straight
1,354,-0.4594,0.7831,-0.0781,-4.2952,7.4316,-2.9113,straight
1,367,-0.4149,0.8263,-0.0645,-4.1827,7.3837,-2.9042,straight
1,380,-0.3973,0.8468,-0.0576,-4.0725,7.4915,-3.0215,straight
1,393,-0.389,0.8079,-0.0629,-4.1396,7.3933,-3.0215,straight
1,406,-0.3619,0.7922,-0.0754,-4.3263,7.3239,-3.0095,straight
1,419,-0.3325,0.7901,-0.097,-4.5274,7.2616,-3.067,straight
1,432,-0.3227,0.7925,-0.1156,-4.5993,7.264,-2.976,straight
1,445,-0.3275,0.813,-0.1226,-4.5681,7.3909,-2.8371,straight
1,458,-0.3328,0.8599,-0.1292,-4.5083,7.3909,-2.8228,straight
1,471,-0.3381,0.8844,-0.1455,-4.4867,7.3406,-3.0023,straight
1,484,-0.3214,0.8724,-0.1559,-4.5011,7.3741,-3.0813,straight
1,497,-0.2731,0.8553,-0.1471,-4.6807,7.4436,-3.1795,straight
1,510,-0.2374,0.8119,-0.1383,-4.561,7.6734,-3.3471,straight
1,523,-0.1807,0.74,-0.1463,-4.5538,7.6734,-3.3447,straight
1,536,-0.0458,0.6672,-0.1343,-4.8602,7.6902,-3.3232,straight
1,549,0.1015,0.5545,-0.0959,-4.8171,8.1331,-3.462,straight
1,562,0.1458,0.5239,-0.1127,-4.549,8.7795,-3.7613,straight
1,575,0.0733,0.4839,-0.1665,-4.4317,9.5098,-3.9289,straight
1,588,-0.0083,0.4498,-0.2041,-4.0677,9.991,-3.7948,straight
1,601,-0.0514,0.393,-0.2044,-4.0869,10.1921,-3.7134,straight
1,614,-0.1146,0.2721,-0.2217,-4.2737,10.058,-3.972,straight
1,627,-0.2388,0.1956,-0.3184,-4.6711,9.8426,-4.4508,straight
1,640,-0.3533,0.2795,-0.4668,-5.7341,9.493,-4.4939,straight
1,653,-0.2617,0.4175,-0.4967,-6.5362,9.3709,-3.9337,straight
1,666,0.0155,0.6153,-0.3794,-6.7397,9.323,-3.2729,straight
1,679,0.3683,0.7477,-0.1402,-6.7421,8.4731,-2.2242,straight
1,692,0.6491,0.7541,0.1527,-6.213,7.7764,-1.4365,straight
1,705,0.5465,0.6262,0.2529,-6.1004,7.6351,-1.6113,straight
