action_id,timestamp,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,action_label
1,141598,-0.0368,0.1537,-0.1239,-0.3256,9.4068,-2.5235,left
1,141621,0.0309,0.0975,-0.1023,0.1245,9.845,-2.5235,left
1,141644,0.0797,0.0677,-0.1673,-0.0814,9.7947,-2.8252,left
1,141667,0.1077,0.0805,-0.2313,-0.4645,9.9886,-2.9664,left
1,141690,0.0981,0.0762,-0.2769,-0.8954,10.6039,-2.6815,left
1,141713,0.1412,0.0674,-0.267,-1.0989,10.2807,-2.7916,left
1,141736,0.117,0.1228,-0.2403,-0.7494,10.8721,-2.1141,left
1,141759,0.162,0.1191,-0.2289,-1.1947,11.6262,-2.3966,left
1,141782,0.1244,0.2449,-0.2201,-1.6831,11.6047,-0.6057,left
1,141805,0.0573,0.3232,-0.2108,-1.901,9.9742,-1.4605,left
1,141828,0.0437,0.3048,-0.1913,-1.4964,8.5952,-0.9194,left
1,141851,-0.0016,0.2694,-0.1186,-1.7933,8.0613,-0.9122,left
1,141874,0.0314,0.1615,-0.0021,-2.411,8.4132,-0.9649,left
1,141897,0.0874,0.0077,0.1029,-2.5714,9.1626,-1.2019,left
1,141922,0.1372,-0.0898,0.1575,-2.5666,9.5241,-1.5227,left
1,141945,0.1593,-0.0813,0.1623,-2.1715,9.6031,-2.0446,left
1,141968,0.1551,-0.0442,0.1407,-1.3384,9.6103,-2.2577,left
1,141991,0.1561,0.0402,0.1039,-0.8428,9.1722,-2.5929,left
1,142014,0.1415,0.0901,0.0986,-1.1061,8.6311,-2.5355,left
1,142037,0.1034,0.0357,0.1335,-1.4868,8.3941,-2.5019,left
1,142060,0.0514,-0.0421,0.1569,-1.6712,8.4683,-2.5522,left
1,142083,0.0117,-0.0586,0.1332,-1.5179,8.4443,-2.7581,left
1,142106,-0.0027,-0.0083,0.097,-1.4102,8.6335,-2.9233,left
1,142130,-0.0104,0.0472,0.0879,-1.3336,9.2273,-3.134,left
1,142153,0.0027,0.0485,0.109,-1.482,9.1387,-3.1987,left
1,142176,0.0245,0.0805,0.146,-1.4676,8.6957,-3.1053,left
1,142200,0.0048,0.0634,0.1895,-1.7166,8.8442,-2.9521,left
1,142223,0.0029,0.0085,0.2065,-1.7933,8.8609,-2.7653,left
1,142246,0.0421,-0.0605,0.2156,-1.7597,8.8562,-2.7869,left
1,142269,0.0703,0.0045,0.2009,-1.4078,9.3518,-2.9425,left
1,142292,0.0741,0.1114,0.1604,-1.1923,10.2113,-3.486,left
1,142316,0.1026,0.1948,0.1412,-1.1325,10.5896,-3.565,left
1,142340,0.1503,0.2062,0.1721,-0.9816,10.3094,-3.8642,left
1,142363,0.2182,0.1066,0.2462,-1.8627,10.4244,-3.6009,left
1,142386,0.2737,0.0989,0.2976,-1.8723,10.5536,-3.1484,left
