action_id,timestamp,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,action_label
1,11264,0.0528,0.1396,0.0802,0.4381,8.6072,-3.723,jump
1,11287,-0.4189,0.2089,0.0863,0.984,8.5593,-3.869,jump
1,11310,-0.6622,0.2041,0.0637,0.4908,7.7093,-2.4804,jump
1,11333,-0.7341,0.0858,0.0637,-0.5507,5.9376,-2.6719,jump
1,11356,-1.0792,-0.2489,0.1495,-1.6783,3.8355,-3.1627,jump
1,11379,-1.355,-0.3467,0.2409,-1.0295,2.0111,-2.5857,jump
1,11402,-1.2438,-0.2614,0.4591,-1.7334,0.3208,-2.545,jump
1,11425,-1.2311,0.3848,0.4935,-0.917,0.486,-2.7701,jump
1,11448,-1.4448,0.494,0.1871,3.4884,1.2258,-2.7007,jump
1,11471,-1.481,0.2438,-0.4114,9.8569,5.7533,3.1771,jump
1,11494,0.3587,-0.6813,-0.6091,-2.6647,21.2557,8.1786,jump
1,11517,-0.3112,-0.4018,-0.4394,-9.9216,35.3743,5.7245,jump
2,13637,-1.1058,0.1519,-0.0512,1.8771,3.0981,-0.8523,jump
2,13660,-1.0968,-0.1178,-0.1529,-0.2538,2.7869,-1.2713,jump
2,13683,-1.0126,-0.3312,-0.0272,-3.1364,2.7773,-1.8124,jump
2,13706,-1.4048,0.2209,0.0085,-0.3926,5.102,-1.1636,jump
2,13729,-0.9627,0.328,-0.1585,2.5905,8.1331,3.2178,jump
2,13752,-0.9379,-0.2313,-0.0789,-0.7254,9.7947,4.276,jump
2,13776,-0.6062,0.1148,0.0101,-0.8523,12.5265,4.5418,jump
2,13800,-0.2417,0.2425,0.0488,-0.589,15.943,5.8538,jump
2,13823,0.0179,0.328,-0.0035,-0.7422,20.3483,7.252,jump
2,13846,0.1937,0.1577,-0.0282,-1.8172,25.8167,10.8218,jump
2,13869,0.6006,0.4842,0.0533,-0.0718,28.8214,10.2256,jump
2,13892,1.149,1.0664,0.1631,-0.6488,28.9842,14.1785,jump
3,18146,-0.8697,0.231,0.2707,1.008,4.6783,-2.794,jump
3,18169,-1.2007,0.0552,0.2936,1.9297,2.8635,-2.7078,jump
3,18192,-1.5676,-0.315,0.2904,1.2474,1.3072,-1.8172,jump
3,18215,-1.0064,-0.4442,0.3421,-0.3519,-0.0024,-0.6416,jump
3,18238,-0.4962,0.1607,0.3014,-0.0527,0.7159,-3.3423,jump
3,18261,-1.2207,0.1974,0.0725,3.0143,1.6783,-4.6902,jump
3,18284,-2.5199,0.8561,-0.4485,6.1148,12.5552,5.2361,jump
3,18307,-0.1841,0.2742,-0.5745,0.4501,25.8239,7.5082,jump
3,18330,-0.2801,-0.5574,-0.1831,-3.1388,31.0791,5.6886,jump
3,18353,0.2494,0.0059,0.0975,0.7614,26.1279,8.0996,jump
3,18376,0.9803,0.2713,0.1471,1.4509,28.1175,8.6479,jump
3,18399,1.8922,0.8828,0.2523,3.4979,30.2124,5.5091,jump
4,19280,1.8431,-0.0083,0.6963,-10.7212,-3.9025,-10.0509,jump
4,19303,-1.2977,1.2284,1.3475,-4.9919,-2.8347,-12.153,jump
