action_id,timestamp,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,action_label
1,12365,0.052,0.138,0.3592,-1.585,12.6198,-2.2817,straight
1,12388,-0.1463,-0.3259,0.2843,-0.9984,12.2128,-0.4046,straight
1,12411,-0.1644,-0.3357,0.1548,0.2753,10.7667,0.419,straight
1,12435,-0.0831,-0.4421,0.0666,1.2139,9.9216,0.5387,straight
1,12458,0.5305,-0.3517,0.0397,0.431,9.0812,-0.7183,straight
1,12481,0.3786,-0.1825,-0.016,-1.5155,8.4898,-3.4309,straight
1,12504,0.1148,-0.2649,-0.0538,-0.6512,8.6981,-2.387,straight
1,12527,0.1966,-0.2862,-0.0384,-0.2155,9.912,-1.6664,straight
1,12550,0.3067,-0.2041,0.0253,0.1844,9.517,-2.5881,straight
1,12574,0.0783,-0.1857,0.0885,0.5435,8.6574,-3.1436,straight
1,12597,-0.2201,-0.0802,0.0991,0.9074,8.1283,-2.3894,straight
1,12620,-0.2025,-0.3571,0.129,-0.0646,7.5106,-1.4293,straight
2,20801,-0.1895,0.0429,0.1178,-1.391,9.8138,-2.9401,straight
2,20824,0.052,-0.0994,0.2009,-1.3862,9.5193,-3.5626,straight
2,20848,0.214,-0.1895,0.2084,-1.2737,9.9503,-3.6296,straight
2,20871,0.3507,-0.0605,0.1138,-1.4772,11.4084,-2.9233,straight
2,20894,0.2635,-0.0272,0.0773,-1.664,13.0795,-2.1356,straight
2,20917,0.1388,0.1119,0.0501,-0.2251,12.3996,-1.3001,straight
2,20940,0.0679,0.1191,0.0069,0.4429,10.1538,-1.5227,straight
2,20963,-0.1143,-0.105,-0.0485,-0.2346,8.5617,-1.9465,straight
2,20986,-0.2022,-0.2654,-0.0823,-0.6967,7.2903,-1.5993,straight
2,21009,-0.0187,-0.162,-0.0711,-1.0918,6.9767,-1.3168,straight
2,21032,0.2017,-0.0354,-0.0456,-0.3711,8.2744,-1.5826,straight
2,21055,0.1548,-0.0346,-0.0077,0.079,9.8617,-2.0111,straight
3,24952,0.0522,-0.2185,0.0783,0.2801,7.5274,-2.2913,straight
3,24975,0.3285,-0.0173,-0.0091,-0.6871,7.2233,-2.7916,straight
3,24998,0.4914,-0.0101,-0.0421,-1.6305,8.2983,-2.6767,straight
3,25021,0.3421,-0.0469,-0.0669,-0.51,10.8194,-2.806,straight
3,25044,-0.126,-0.1127,-0.0552,0.7901,11.983,-2.5115,straight
3,25067,-0.2923,-0.1695,0.0203,0.486,10.7955,-1.9968,straight
3,25090,-0.1263,-0.1737,0.0903,0.2682,9.177,-3.0622,straight
3,25113,-0.061,-0.1314,0.0837,-0.1173,8.2049,-3.7876,straight
3,25136,-0.0818,-0.0197,0.052,-0.3232,8.0996,-3.304,straight
3,25159,-0.0677,-0.0237,0.0466,-0.2634,8.7819,-2.9664,straight
3,25182,-0.0674,-0.0957,0.0735,-0.1365,9.2751,-2.9856,straight
3,25205,-0.166,-0.1159,0.0994,0.4453,9.4284,-2.8754,straight
4,27757,0.1327,0.2161,-0.1599,1.4461,9.2249,-3.7445,straight
4,27780,0.2534,0.2803,-0.1988,0.7518,9.7276,-2.8299,straight
4,27803,0.2214,0.3328,-0.2222,-0.2274,9.7707,-2.1883,straight
4,27826,0.1263,0.2936,-0.2068,-0.826,9.6965,-2.2194,straight
