action_id,timestamp,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,action_label
1,2,-0.3254,0.2622,-0.3392,0.8619,6.3446,-5.6024,left
1,16,-0.3451,0.1346,-0.2939,1.0989,6.3494,-5.2505,left
1,29,-0.2785,0.0450,-0.2611,1.2761,6.4189,-4.9440,left
1,42,-0.1434,0.0296,-0.2665,1.4772,6.4859,-4.8028,left
1,55,0.0624,0.0879,-0.3176,1.5060,6.8115,-4.9919,left
1,68,0.2601,0.1756,-0.4207,1.3719,7.5274,-5.6527,left
1,81,0.3552,0.2912,-0.5830,1.2210,8.3079,-6.5912,left
1,94,0.3312,0.5311,-0.8140,0.8332,8.9567,-7.5034,left
1,107,0.2302,0.8940,-1.0078,-0.0814,9.2440,-8.2097,left
1,120,0.1223,1.1135,-1.0600,-0.9218,9.3446,-8.3893,left
1,133,0.0616,1.1215,-1.0493,-1.0463,9.3709,-8.3701,left
1,146,0.0107,0.9840,-0.9800,-0.9649,9.3733,-8.1068,left
1,159,-0.2646,0.5159,-0.8561,-0.2705,10.6446,-8.0709,left
1,172,-0.5601,0.1087,-0.7941,0.8092,10.2113,-6.6248,left
1,185,-0.2459,0.1204,-0.5732,0.2993,9.5696,-5.6575,left
1,198,-0.3269,0.0400,-0.4213,0.5938,11.1426,-5.9233,left
1,211,-0.3781,0.4405,-0.6339,1.9082,11.3389,-5.0829,left
1,224,-0.1223,1.1540,-0.8748,1.2019,11.2695,-5.2385,left
1,237,-0.0845,1.4304,-0.8247,-0.1389,10.5776,-5.1882,left
1,250,0.0442,1.5186,-0.8399,-0.7614,10.0126,-5.3056,left
1,263,0.0581,1.8687,-1.3464,-1.9441,10.6925,-6.5505,left
1,276,-0.2673,2.2481,-1.9449,-4.1156,10.7356,-7.4579,left
1,289,-0.7040,2.1365,-1.9913,-6.1124,9.8665,-6.8666,left
1,302,-0.8612,1.4679,-1.4394,-6.7756,8.4013,-4.8698,left
1,315,-0.5748,0.6376,-0.5745,-5.7844,8.4827,-3.6488,left
1,328,-0.2297,-0.1447,0.1990,-4.2521,8.5401,-3.4069,left
1,341,-0.0019,-0.6571,0.7032,-2.3511,8.7125,-3.8571,left
1,354,0.0986,-0.8543,0.9004,-0.1413,8.6479,-4.2186,left
1,367,0.1284,-0.6835,0.7965,2.0135,8.1307,-4.3167,left
1,380,0.1428,-0.2843,0.4898,2.6408,7.3957,-4.4700,left
1,393,0.0528,0.0485,0.2585,2.1237,6.8833,-4.8985,left
1,406,-0.1314,0.3235,0.0602,0.9266,6.5050,-4.8507,left
1,419,-0.2617,0.4165,0.0088,-0.0120,6.2968,-4.6280,left
1,432,-0.3139,0.3112,0.0493,-0.7685,6.0956,-4.1827,left
1,445,-0.1948,0.1079,0.1460,-1.0104,5.8993,-4.0654,left
1,458,0.0216,0.2022,0.1282,-1.3934,6.0071,-4.5346,left
1,471,0.1593,0.4908,-0.0195,-1.7023,6.0956,-5.1356,left
1,484,0.1982,0.7869,-0.1972,-1.8364,5.9735,-5.6192,left
1,497,0.2262,1.0032,-0.3637,-1.6688,5.8035,-6.1483,left
1,510,0.1527,1.1266,-0.4948,-1.8244,5.8849,-6.7900,left
1,523,-0.0474,1.1445,-0.4927,-2.1931,5.8682,-7.0653,left
1,536,-0.2782,1.0357,-0.3309,-2.4924,5.6336,-6.7038,left
1,549,-0.4285,0.7727,-0.0616,-2.4756,5.5617,-6.0956,left
1,562,-0.4884,0.5233,0.1788,-2.0494,5.7245,-5.4827,left
1,575,-0.4682,0.3424,0.3283,-1.5227,6.1531,-5.1188,left
1,588,-0.3946,0.1844,0.3984,-1.2474,6.7540,-4.9416,left
1,601,-0.2401,0.0360,0.4463,-1.2091,7.3717,-4.8794,left
1,614,0.0493,-0.0192,0.4562,-1.0582,7.8051,-5.1284,left
1,627,0.3224,0.0602,0.3792,-0.9553,8.1977,-5.8059,left
1,640,0.3818,0.2332,0.1953,-0.5746,9.1530,-6.6894,left
1,653,0.1876,0.4333,-0.0909,-0.0168,10.3334,-7.0773,left
1,666,0.1412,0.6022,-0.2864,-0.6680,9.9575,-7.0988,left
1,679,0.2601,0.6912,-0.1966,-2.0207,9.5098,-7.6136,left
1,692,0.2614,0.5910,0.0077,-2.1380,10.0221,-8.6287,left
1,705,-0.0245,0.4810,0.0847,-1.1612,10.8314,-9.2488,left
1,718,-0.1857,0.7149,-0.1223,0.2227,11.2049,-8.9208,left
1,731,-0.4178,1.0054,-0.3864,0.3998,12.2032,-8.6503,left
1,744,-1.1351,1.0954,-0.4708,0.5890,11.8106,-6.6367,left
1,757,-1.4392,1.1575,-0.4727,1.1684,10.3286,-3.5961,left
1,770,-1.0525,1.0736,-0.3166,1.2857,9.8641,-1.5993,left
1,783,-0.4104,0.8282,-0.1823,2.6384,11.5233,-1.3144,left
1,796,-0.0370,1.1916,-0.4485,3.5530,13.1035,-2.2697,left
1,809,0.1876,1.8421,-0.8303,1.5538,12.2128,-3.1053,left
1,822,0.3627,1.8772,-0.8974,-0.9529,10.8218,-3.9456,left
1,835,0.4570,1.4770,-0.7272,-1.4581,9.7157,-4.5633,left
1,848,0.4959,1.1922,-0.6342,-1.0822,9.4691,-5.1164,left
1,861,0.4780,0.8207,-0.4986,-1.3024,9.1315,-5.5306,left
1,874,0.4887,0.3541,-0.2443,-1.1205,8.5473,-5.7964,left
1,887,0.5494,-0.0128,0.0226,-0.7326,8.0158,-5.8826,left
1,900,0.5729,-0.1386,0.2054,0.4693,7.4962,-6.0501,left
1,913,0.4186,0.0933,0.0991,1.7310,7.4124,-6.3614,left
1,926,-0.1266,0.6360,-0.3051,2.2673,7.7357,-6.2058,left
1,939,-0.5550,1.0760,-0.6885,1.5610,6.9264,-4.8411,left
1,952,-0.5033,1.2470,-0.8194,0.8835,6.1339,-3.9361,left
1,965,-0.2438,1.3901,-0.8721,0.4573,6.1100,-3.8786,left
1,978,-0.1172,1.4741,-0.9379,0.0814,6.5553,-4.4604,left
1,991,-0.1545,1.4615,-0.9950,-0.2131,6.7109,-4.8435,left
1,1004,-0.1911,1.4131,-1.0155,-0.4717,6.6942,-5.1092,left
1,1017,-0.2300,1.2428,-0.9401,-0.7470,6.8043,-5.3367,left
1,1030,-0.2931,1.0333,-0.8252,-0.7230,6.8570,-5.5402,left
1,1043,-0.3424,0.9177,-0.7192,-0.6464,6.7205,-5.5905,left
1,1056,-0.3904,0.8458,-0.6283,-0.3903,6.6415,-5.4540,left
1,1069,-0.4162,0.7874,-0.5614,0.0455,6.4500,-5.1906,left
1,1082,-0.3800,0.8114,-0.5492,0.4357,6.3063,-5.0135,left
1,1095,-0.2846,0.8276,-0.5516,0.6608,6.0789,-4.8626,left
1,1108,-0.1119,0.8676,-0.5638,0.7159,6.2201,-5.1451,left
1,1121,-0.0075,0.9124,-0.6214,0.7494,6.8881,-5.6886,left
1,1134,0.0552,1.1138,-0.7839,0.6369,7.8530,-6.3039,left
1,1147,0.1295,1.4719,-0.9891,-0.1939,8.6646,-6.7205,left
