action_id,timestamp,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,action_label
1,104015,-0.0791,0.219,0.1929,-1.2665,8.2815,-3.1125,jump
1,104039,-0.0722,0.0298,0.2353,-1.7478,7.5992,-2.9425,jump
1,104062,-0.052,0.1063,0.2086,-1.1684,7.9009,-2.9401,jump
1,104085,-0.0698,-0.0296,0.1951,-1.166,8.6694,-3.1771,jump
1,104108,0.0008,0.0386,0.1623,-0.9864,8.5138,-2.885,jump
1,104131,0.0384,0.234,0.1687,-0.9912,8.0804,-2.9042,jump
1,104155,0.0445,0.1492,0.2174,-1.7142,8.4563,-2.9401,jump
1,104180,0.1335,0.0394,0.2681,-2.229,9.1291,-3.1053,jump
1,104204,0.1471,-0.0338,0.3019,-1.6448,9.6774,-3.5338,jump
1,104227,0.1039,-0.0232,0.3155,-1.4174,10.6949,-3.5913,jump
1,104250,0.1969,0.041,0.3691,-0.9074,11.497,-3.0478,jump
1,104273,0.3288,0.0773,0.4258,-0.6105,11.6789,-3.7709,jump
1,104296,0.3115,-0.0104,0.5153,-1.9321,11.655,-3.2848,jump
1,104319,0.4005,-0.0743,0.5558,-1.2737,12.378,-2.466,jump
1,104342,0.4639,-0.1428,0.4602,0.5363,13.0316,-1.5921,jump
1,104365,0.3722,-0.0016,0.3174,2.9832,11.5616,-1.3144,jump
1,104390,0.0666,0.2105,0.1687,2.4924,9.6438,-1.0678,jump
1,104413,0.0131,0.2582,0.0863,1.1732,9.1578,-0.9768,jump
1,104436,0.0477,0.1434,0.0373,0.2227,9.4068,-2.0877,jump
1,104459,0.1604,-0.0781,0.0139,0.2538,9.4978,-2.3798,jump
1,104482,0.1903,-0.158,-0.025,0.5291,10.0628,-2.6863,jump
1,104505,0.1615,-0.0909,-0.0562,1.0199,9.5648,-2.5402,jump
1,104528,0.1676,0.0003,-0.0496,1.3575,8.5904,-3.0789,jump
1,104551,0.0941,-0.0565,0.0019,1.2234,7.6112,-3.3519,jump
1,104574,0.0203,-0.1239,0.064,0.9529,7.0868,-3.3255,jump
1,104598,-0.0205,-0.1612,0.0685,0.9337,6.8881,-3.2202,jump
1,104621,-0.0629,-0.1183,0.0032,1.2522,6.9935,-3.292,jump
1,104644,-0.1037,-0.0362,-0.0794,1.3886,7.3837,-3.2465,jump
1,104667,-0.0869,-0.024,-0.1162,1.142,7.774,-3.45,jump
1,104690,-0.0112,0.0021,-0.1327,1.3695,8.0756,-3.4357,jump
1,104713,0.1092,0.0757,-0.1852,1.889,8.0349,-3.5027,jump
1,104736,0.2126,0.1679,-0.2622,2.0087,8.1044,-3.6536,jump
1,104759,0.2955,0.2089,-0.3176,1.3767,9.1818,-3.8714,jump
1,104782,0.3136,0.1098,-0.3445,0.419,10.5704,-3.9121,jump
1,104806,0.2265,-0.2268,-0.3683,-2.0303,11.2456,-4.1372,jump
1,104830,0.1804,-0.4962,-0.3688,-2.0614,11.1785,-4.7716,jump
1,104853,0.1639,-0.5633,-0.3784,-0.5674,12.955,-4.5562,jump
1,104876,0.3288,-0.4117,-0.4375,1.4796,14.3604,-3.6129,jump
1,104899,0.3858,-0.0933,-0.4772,1.6376,14.0228,-3.5219,jump
1,104922,0.3059,0.1676,-0.3536,-0.0622,12.0955,-2.2218,jump
