action_id,timestamp,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,action_label
1,105456,0.1074,0.1372,-0.11,0.7039,9.6654,-3.3112,left
1,105479,0.081,-0.0309,-0.1085,0.0048,9.9623,-3.1125,left
1,105502,0.0064,0.0195,-0.0586,0.5267,9.8114,-3.7421,left
1,105525,-0.0056,0.2814,-0.0741,1.6807,9.153,-3.7685,left
1,105548,0.0301,0.5654,-0.1529,2.6671,8.7005,-3.9887,left
1,105571,0.0234,0.4836,-0.2454,2.6791,8.8346,-3.4907,left
1,105594,0.1724,0.4114,-0.2936,1.5754,10.2089,-3.4237,left
1,105617,0.1964,0.3701,-0.234,0.3496,11.9806,-2.8539,left
1,105640,0.1527,0.4165,-0.117,-0.7039,12.8712,-2.1045,left
1,105663,0.0019,0.518,-0.1279,0.9912,12.2655,-2.4469,left
1,105686,-0.3938,0.7842,-0.2252,-0.5578,9.8497,-1.5921,left
1,105709,-0.194,0.7975,-0.2462,-1.3599,8.9447,-1.075,left
2,227318,-0.9617,0.352,0.5732,1.6855,10.6111,-1.7358,left
2,227341,-0.0895,1.4365,0.1671,3.8499,6.9001,2.4804,left
2,227364,0.3584,0.8505,-0.1266,2.6887,6.529,-1.5945,left
2,227387,0.5945,0.2161,-0.1788,-0.2059,7.9128,-1.4437,left
2,227410,0.1905,-0.0829,-0.1713,-0.6273,9.809,-1.4078,left
2,227433,0.4128,0.3456,-0.1881,-0.3926,10.5225,-1.6712,left
2,227456,0.5668,0.5375,-0.1511,0.8882,10.2711,-2.8826,left
2,227479,0.267,0.5606,-0.0309,1.7119,9.1339,-4.6735,left
2,227502,0.008,0.4474,0.0759,1.4485,7.9368,-3.5219,left
2,227525,-0.0661,0.6006,0.0679,1.2522,7.5753,-3.0981,left
2,227549,-0.1146,0.6001,0.0642,0.5746,7.8075,-3.2082,left
2,227572,-0.141,0.5263,0.0887,0.0862,8.6,-3.6009,left
3,255056,0.4128,0.0536,-0.3003,1.5203,11.0301,-0.9912,left
3,255079,0.9294,0.4786,-0.4463,0.4621,9.4667,-1.5706,left
3,255102,1.4687,0.3032,-0.3888,-8.9447,7.513,-8.3246,left
3,255125,0.239,1.4458,0.0711,-1.3336,6.9911,-6.1172,left
3,255148,-0.2534,1.5961,0.2345,1.245,7.2377,-3.4165,left
3,255171,-0.514,1.4773,0.1903,2.7294,7.0366,-3.0143,left
3,255194,-0.3517,1.0323,0.1801,1.9968,7.1491,-2.2577,left
3,255217,0.255,0.8111,0.0975,0.9816,8.2361,-2.2529,left
3,255240,0.284,1.0517,0.0093,-2.4828,8.7915,-5.7245,left
3,255263,-0.4074,1.4762,0.1178,-1.3384,8.5401,-4.719,left
3,255286,-0.2822,1.3563,0.1585,0.1389,7.6998,-2.5881,left
3,255309,0.1159,1.2873,0.0578,1.0319,7.6231,-2.4588,left
4,281833,-0.6171,0.1172,0.5788,-0.0407,10.9032,-1.9417,left
4,281856,-1.0605,1.0171,0.4434,4.0294,8.2768,-1.6664,left
4,281879,0.2539,2.0475,-0.1863,5.2744,5.9137,-0.2466,left
4,281902,0.5955,0.5497,-0.3579,3.1843,5.9448,-2.4086,left
4,281925,0.4551,0.1588,-0.4407,0.5698,9.6941,-2.3487,left
4,281948,-0.0203,-0.3171,-0.3499,-2.15,12.4403,-0.929,left
4,281971,0.3277,0.4389,-0.2353,-3.5362,11.9447,-0.5698,left
4,281994,0.9731,0.9004,-0.0597,0.1317,9.6319,-1.8435,left
4,282017,0.2918,2.489,-0.2651,4.7645,9.6199,-7.6279,left
4,282040,-0.3019,0.7783,0.0448,3.5171,7.1563,-4.9799,left
4,282063,-0.3344,0.5947,-0.0711,1.7238,7.7069,-2.9449,left
4,282086,0.1652,0.5265,-0.207,0.2753,8.5808,-2.6049,left
5,299610,1.1983,0.9699,0.15,-5.1068,12.1099,-7.8506,left
5,299633,-0.7442,1.5465,0.2888,-1.8794,12.5313,-3.9121,left
