action_id,timestamp,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,action_label
1,2,-0.5193,0.4271,-0.3304,-3.5793,6.8043,-1.3455,jump
1,16,-0.4607,0.2014,-0.1484,-4.4221,6.6798,-1.6257,jump
1,29,-0.4375,-0.0147,0.0757,-5.1691,6.5338,-1.5993,jump
1,42,-0.3629,-0.1029,0.2633,-5.2960,6.3494,-1.3886,jump
1,55,-0.1985,-0.1154,0.3381,-5.2289,6.1770,-1.1516,jump
1,68,-0.0013,-0.0616,0.3309,-4.9297,6.0645,-1.2785,jump
1,81,0.0330,0.1071,0.2094,-4.3167,5.9065,-1.8340,jump
1,94,-0.1378,0.1953,0.0560,-3.9696,5.3822,-2.1165,jump
1,107,-0.2840,0.1284,0.0040,-3.4477,4.5729,-1.6783,jump
1,120,-0.3214,-0.0104,0.0469,-3.0047,4.6591,-1.0654,jump
1,133,-0.2390,-0.3099,0.1468,-3.0933,5.7868,-1.0702,jump
1,146,0.0160,-0.5423,0.3435,-2.2027,7.4986,-1.7478,jump
1,159,0.1990,-0.8998,0.4450,-1.2139,9.3733,-3.7565,jump
1,172,-0.2012,-1.2097,0.4940,0.0622,10.6015,-4.8770,jump
1,185,-0.7394,-1.3480,0.4442,1.2186,11.2839,-3.6966,jump
1,198,-0.9539,-1.4442,0.3659,1.9609,10.9295,-1.8771,jump
1,211,-0.8247,-1.3715,0.2870,2.3415,10.3477,-0.6177,jump
1,224,-0.7437,-1.0557,0.1146,1.7669,10.0916,-0.4118,jump
1,237,-0.9569,-0.4711,-0.1972,0.8571,10.1634,-0.3735,jump
1,250,-1.0155,0.4005,-0.5995,-0.1508,9.2153,0.0431,jump
1,263,-0.6062,1.0384,-0.8220,-1.7861,7.4196,0.0144,jump
1,276,-0.0858,1.0024,-0.7168,-3.0143,5.6144,-0.9577,jump
1,289,0.0677,0.5476,-0.3880,-2.8994,4.4843,-2.3822,jump
1,302,-0.2515,0.1617,-0.0530,-2.2410,4.1539,-3.0454,jump
1,315,-0.6928,-0.0719,0.1695,-1.8531,4.3120,-2.2841,jump
1,328,-1.0067,-0.4282,0.2838,-1.7645,4.8052,-1.0989,jump
1,341,-1.1359,-0.7552,0.2955,-1.0175,5.8778,0.1963,jump
1,354,-0.7685,-0.8836,0.1847,0.1508,7.5848,1.4150,jump
1,367,-0.0775,-1.2412,0.0029,0.0503,11.1402,1.0343,jump
1,380,0.3826,-1.4938,-0.2963,-0.6656,15.1625,-0.5171,jump
1,393,0.2321,-0.9507,-0.5726,-4.4125,19.1967,-2.1548,jump
1,406,-0.0866,0.2393,-0.4820,-8.3103,23.5518,-1.9393,jump
1,419,0.2009,1.1962,-0.2225,-8.1307,27.7225,-0.3232,jump
1,432,0.9318,1.4778,-0.0997,-6.8761,30.9355,-2.2960,jump
1,445,0.7999,1.4741,0.0117,-9.3518,34.4957,-7.4412,jump
1,458,0.2470,1.0904,0.4207,-10.8745,34.7327,-7.6040,jump
1,471,0.4770,0.4943,0.9052,-10.4148,33.0927,-6.5769,jump
1,484,1.0696,0.3062,1.1788,-7.8410,28.4910,-6.6798,jump
1,497,1.7030,0.4434,1.1551,-5.9448,22.4265,-6.1004,jump
1,510,2.2974,0.3549,1.1804,-5.3510,16.5966,-4.7094,jump
1,523,2.7278,-0.0810,1.3185,-4.4365,11.9279,-3.3423,jump
1,536,2.3968,-0.8322,1.2732,-2.7677,9.6319,-3.2370,jump
1,549,1.5932,-0.9830,0.9094,-0.7230,7.5346,-2.4565,jump
1,562,0.9254,-0.5417,0.3685,0.4166,4.6088,-1.0894,jump
1,575,0.5897,-0.1074,-0.1972,0.5267,1.6209,0.7757,jump
1,588,0.3976,0.2302,-0.4266,-0.3543,-0.9313,2.2290,jump
1,601,0.0413,0.8340,-0.1077,-1.9058,-1.8459,3.2753,jump
1,614,-0.3078,0.9939,0.0709,-1.5179,-0.8882,3.9983,jump
1,627,-0.0552,1.1485,-0.2166,0.2873,0.5339,3.6392,jump
1,640,0.8340,1.3038,-0.6819,1.2139,2.5833,2.3703,jump
1,653,1.7634,0.9006,-1.2452,1.4940,4.8842,-1.3120,jump
1,666,1.2955,0.7408,-1.4991,2.1644,4.0630,-7.0533,jump
1,679,-0.1676,1.0792,-1.6758,1.6161,0.2370,-6.5793,jump
1,692,-1.1077,1.0152,-1.4530,0.8667,-2.3128,-2.7725,jump
1,705,-1.1013,0.7866,-1.0912,0.7326,-3.4405,0.5028,jump
1,718,-0.7509,0.3944,-0.6726,0.3759,-3.7804,1.7454,jump
1,731,-0.3933,-0.2984,-0.1404,-0.0646,-3.2825,1.6831,jump
1,744,0.0834,-0.7384,0.4405,-0.1077,-1.8387,1.1444,jump
1,757,0.6483,-0.9894,0.7935,-0.0215,-0.5602,0.2155,jump
1,770,0.9254,-0.7991,0.7631,0.2107,0.2873,-0.9912,jump
2,2,2.4432,2.8762,0.1745,-9.9168,31.7519,-6.0956,jump
2,16,2.2098,1.2990,0.6829,-9.1075,28.7304,-10.9367,jump
2,29,1.8991,0.5790,0.8887,-7.0318,26.2644,-9.1770,jump
2,42,2.0339,0.1338,1.0517,-6.3422,23.2860,-5.5976,jump
2,55,2.4424,-0.4615,1.5434,-6.1746,19.9724,-3.8188,jump
2,68,2.6886,-1.2574,2.2636,-6.4356,17.1688,-3.4357,jump
2,81,2.4448,-2.0142,2.8394,-4.4939,14.4418,-3.0287,jump
2,94,1.8101,-2.0534,2.8831,-1.1803,10.8290,-2.0830,jump
2,107,0.9451,-1.3776,2.2212,2.3535,6.7205,-0.5267,jump
2,120,0.5804,0.2507,0.8370,4.2282,3.0311,1.4844,jump
2,133,0.7943,1.5713,-0.4557,0.6345,1.3719,1.8411,jump
2,146,0.8460,2.3667,-0.8660,-2.5355,-0.2107,1.9010,jump
2,159,0.4839,2.3872,-0.6440,-1.7334,-2.3966,3.0430,jump
2,172,0.3355,1.9777,-0.7818,1.0391,-2.9928,3.6464,jump
2,185,0.6070,1.5844,-1.0922,1.3791,-1.9297,3.0382,jump
2,198,1.2462,1.1269,-1.2577,0.3639,0.2131,1.7071,jump
2,211,2.0219,0.9691,-1.1461,-0.0335,2.8371,-0.7183,jump
2,224,2.0134,0.5332,-0.8847,1.4389,6.7445,-6.0238,jump
