action_id,timestamp,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,action_label
1,2,-0.2952,-0.396,-0.1007,-1.0247,8.5449,-4.3144,right
1,16,-0.356,-0.4618,-0.1098,-1.0127,8.6072,-4.4149,right
1,29,-0.4306,-0.5641,-0.1175,-1.075,8.6742,-4.3838,right
1,42,-0.489,-0.6787,-0.1228,-1.0774,8.6479,-4.3191,right
1,55,-0.5212,-0.7504,-0.1167,-1.1277,8.6694,-4.2018,right
1,68,-0.5239,-0.8052,-0.1045,-1.2665,8.655,-4.1851,right
1,81,-0.5052,-0.8628,-0.0903,-1.4341,8.5808,-4.1779,right
1,94,-0.4823,-0.9057,-0.0274,-1.7142,8.4683,-4.039,right
1,107,-0.4114,-0.9036,0.0152,-1.5299,8.4467,-3.8451,right
1,120,-0.3227,-0.834,0.0461,-1.5012,8.4276,-3.7038,right
1,133,-0.227,-0.7536,0.0999,-1.4772,8.26,-3.4644,right
1,146,-0.1551,-0.6837,0.1775,-1.5155,8.2145,-3.3734,right
1,159,-0.1143,-0.6611,0.2675,-1.5682,8.4036,-3.3878,right
1,172,-0.0962,-0.7077,0.3368,-1.5874,8.7005,-3.3926,right
1,185,-0.0874,-0.781,0.3677,-1.5921,8.8681,-3.4093,right
1,198,-0.0842,-0.8415,0.3789,-1.6783,8.9591,-3.4117,right
1,211,-0.0991,-0.8807,0.3797,-1.8052,9.1291,-3.4524,right
1,224,-0.1242,-0.9041,0.3683,-1.8244,9.2273,-3.383,right
1,237,-0.1404,-0.8735,0.3413,-1.7573,9.2751,-3.2825,right
1,250,-0.145,-0.7973,0.3216,-1.8244,9.3541,-3.2226,right
1,263,-0.1372,-0.7466,0.3118,-1.9321,9.2416,-3.146,right
1,276,-0.1258,-0.7032,0.3003,-2.0327,9.0381,-3.0885,right
1,289,-0.1231,-0.668,0.2931,-2.1069,8.9399,-3.0622,right
1,302,-0.1258,-0.6307,0.2963,-2.1668,9.0094,-3.0694,right
1,315,-0.1204,-0.567,0.3184,-2.2769,9.2416,-3.0909,right
1,328,-0.1103,-0.5303,0.3467,-2.4014,9.7133,-3.1029,right
1,341,-0.0906,-0.5383,0.3946,-2.5067,10.4004,-3.1675,right
1,354,-0.0402,-0.5566,0.4618,-2.3918,10.92,-3.0478,right
1,367,0.0722,-0.5673,0.518,-2.0901,11.2216,-2.8084,right
1,380,0.2529,-0.5127,0.5486,-1.6424,11.1282,-2.49,right
1,393,0.4684,-0.3629,0.5798,-1.2737,10.8697,-2.2386,right
1,406,0.6651,-0.1577,0.6067,-0.9481,10.4507,-2.0207,right
1,419,0.7954,0.045,0.6289,-0.6895,9.9431,-1.8986,right
1,432,0.8724,0.2105,0.5987,-0.4932,9.426,-1.7621,right
1,445,0.8551,0.3003,0.5777,-0.4741,9.2727,-1.8818,right
1,458,0.6981,0.3285,0.6094,-0.395,9.5002,-2.0423,right
1,471,0.4117,0.235,0.6131,-0.1437,9.7779,-1.8507,right
1,484,-0.0061,-0.198,0.5143,0.0622,10.1059,-1.549,right
1,497,-0.3698,-0.7005,0.3301,0.5363,9.9335,-1.0319,right
1,510,-0.3549,-0.9281,0.2393,0.2777,9.9216,-1.0989,right
1,523,-0.2372,-0.9617,0.3091,0.1173,9.7947,-1.6233,right
