action_id,timestamp,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,action_label
1,1171790,0.0506,0.045,0.1082,-2.1213,8.6814,-3.4764,straight
1,1171813,0.1074,0.0472,0.1132,-1.4724,9.165,-3.3184,straight
1,1171836,0.1761,0.0671,0.0781,-1.7669,9.5313,-3.4309,straight
1,1171859,0.2531,0.0975,0.0671,-1.9609,9.7564,-3.4836,straight
1,1171882,0.2747,0.0698,0.0802,-2.2865,10.1778,-3.4357,straight
1,1171905,0.2553,-0.0642,0.1037,-2.7605,10.6135,-3.3519,straight
1,1171928,0.2619,-0.1452,0.13,-2.1955,10.5153,-3.6272,straight
1,1171951,0.3248,-0.133,0.1575,-1.6855,9.8833,-3.711,straight
1,1171974,0.3824,-0.1095,0.1815,-1.4748,9.232,-3.5386,straight
1,1171997,0.4154,-0.1002,0.2238,-2.1644,8.9208,-3.2968,straight
1,1172020,0.4143,-0.0789,0.2598,-2.0901,9.2943,-3.2944,straight
1,1172043,0.3805,-0.0413,0.2769,-1.5299,9.5457,-2.7869,straight
1,1172066,0.299,0.0117,0.2942,-0.668,9.1554,-2.3152,straight
1,1172089,0.2129,0.093,0.2659,0.3759,8.6766,-2.2745,straight
1,1172113,0.1745,-0.0528,0.1972,0.5076,8.7819,-2.7509,straight
1,1172136,0.1119,-0.1095,0.1466,0.1484,9.6558,-2.8323,straight
1,1172159,0.0296,-0.1135,0.1303,-0.2394,10.4148,-2.9329,straight
1,1172182,-0.0056,-0.1058,0.1487,-0.4453,10.5584,-3.1651,straight
1,1172205,0.0272,-0.0959,0.1615,0.1101,10.4746,-3.2944,straight
1,1172228,0.0317,-0.1487,0.1567,0.1293,9.596,-3.3519,straight
1,1172251,-0.0115,-0.203,0.1514,-0.3519,8.9447,-3.1867,straight
1,1172274,-0.0954,-0.2694,0.1607,-0.5411,8.837,-3.0526,straight
1,1172297,-0.1362,-0.3224,0.1649,-0.34,8.7891,-3.1819,straight
1,1172320,-0.1266,-0.3256,0.1548,0.2227,8.6933,-3.4979,straight
1,1172343,-0.1322,-0.2793,0.1271,0.6752,8.7173,-3.5793,straight
1,1172367,-0.1356,-0.226,0.1005,0.7781,8.9399,-3.5506,straight
1,1172390,-0.13,-0.1969,0.0906,0.6129,9.0764,-3.5506,straight
1,1172415,-0.1018,-0.1338,0.0706,0.7254,8.6335,-3.7781,straight
1,1172438,-0.0879,0.0032,0.0147,1.1588,8.26,-3.7876,straight
1,1172461,-0.0541,0.0829,-0.053,1.1588,8.3701,-3.3495,straight
1,1172484,-0.0248,0.0949,-0.0946,0.7254,9.0357,-3.1196,straight
1,1172507,-0.0306,-0.036,-0.1412,-0.1844,9.5313,-2.8467,straight
1,1172530,-0.0429,-0.1386,-0.1956,-1.2641,9.4499,-2.6312,straight
1,1172553,0.0085,-0.0911,-0.2561,-0.917,9.7372,-3.4955,straight
1,1172576,0.085,-0.0514,-0.308,-0.2682,11.0612,-3.6512,straight
1,1172601,0.2585,-0.0943,-0.3192,0.4717,11.9902,-3.2322,straight
1,1172625,0.388,-0.1292,-0.296,0.2514,13.4674,-2.4924,straight
1,1172648,0.3155,-0.1474,-0.2657,-1.822,13.951,-1.6712,straight
1,1172671,0.101,-0.024,-0.251,-2.4541,10.6087,-1.0798,straight
1,1172694,0.1204,0.008,-0.1828,-2.241,8.3079,-1.3479,straight
1,1172717,0.1463,0.0282,-0.0863,-1.7573,7.7524,-0.8715,straight
1,1172740,0.0632,0.1095,0.0088,-1.245,8.3007,-1.1492,straight
1,1172763,0.032,0.13,0.0544,-0.7566,8.9615,-1.9704,straight
1,1172788,0.1053,0.1106,0.0488,-1.1349,9.347,-2.2003,straight
1,1172811,0.1745,0.1255,0.0402,-1.4198,9.0501,-2.2817,straight
